workload,policy,prompt_idx,ttft_ms
templated_chat,apc_only,58,12.43
templated_chat,apc_only,59,12.355
templated_chat,apc_only,60,36410.019
templated_chat,apc_only,61,15.176
templated_chat,apc_only,62,12.442
templated_chat,apc_only,63,12.799
templated_chat,apc_only,64,22.677
templated_chat,apc_only,65,12.025
templated_chat,apc_only,66,12.438
templated_chat,apc_only,67,12.193
templated_chat,apc_only,68,16.878
templated_chat,apc_only,69,11.768
templated_chat,apc_only,70,19.892
templated_chat,apc_only,71,14.923
templated_chat,apc_only,72,19.293
templated_chat,apc_only,73,17.456
templated_chat,apc_only,74,17.244
templated_chat,apc_only,75,18.076
templated_chat,apc_only,76,11.458
templated_chat,apc_only,77,17.758
templated_chat,apc_only,78,18.756
templated_chat,apc_only,79,18.807
templated_chat,apc_only,80,11.765
templated_chat,apc_only,81,11.288
templated_chat,apc_only,82,11.263
templated_chat,apc_only,83,11.311
templated_chat,apc_only,84,11.942
templated_chat,apc_only,85,11.28
templated_chat,apc_only,86,18.675
templated_chat,apc_only,87,16.622
templated_chat,apc_only,88,18.798
templated_chat,apc_only,89,17.36
templated_chat,apc_only,90,20.752
templated_chat,apc_only,91,11.641
templated_chat,apc_only,92,19.545
templated_chat,apc_only,93,12.219
templated_chat,apc_only,94,11.813
templated_chat,apc_only,95,12.397
templated_chat,apc_only,96,11.713
templated_chat,apc_only,97,11.611
templated_chat,apc_only,98,11.751
templated_chat,apc_only,99,20.367
templated_chat,apc_only,100,20.44
templated_chat,apc_only,101,13.611
templated_chat,apc_only,102,17.221
templated_chat,apc_only,103,12.121
templated_chat,apc_only,104,20.591
templated_chat,apc_only,105,11.952
templated_chat,apc_only,106,21.306
templated_chat,apc_only,107,11.544
templated_chat,apc_only,108,12.061
templated_chat,apc_only,109,13.012
templated_chat,apc_only,110,21.156
templated_chat,apc_only,111,17.333
templated_chat,apc_only,112,18.763
templated_chat,apc_only,113,15.662
templated_chat,apc_only,114,12.06
templated_chat,apc_only,115,22.63
templated_chat,apc_only,116,12.033
templated_chat,apc_only,117,21.77
templated_chat,apc_only,118,12.212
templated_chat,apc_only,119,12.191
templated_chat,apc_only,120,12.535
templated_chat,apc_only,121,17.509
templated_chat,apc_only,122,17.445
templated_chat,apc_only,123,19.793
templated_chat,apc_only,124,20.104
templated_chat,apc_only,125,11.553
templated_chat,apc_only,126,21.652
templated_chat,apc_only,127,21.714
templated_chat,apc_only,128,21.155
templated_chat,apc_only,129,18.913
templated_chat,apc_only,130,11.943
templated_chat,apc_only,131,11.419
templated_chat,apc_only,132,11.984
